frequency,raw
940.59,-0.72
950.00,-0.62
959.50,-0.52
969.09,-0.40
978.78,-0.28
988.57,-0.16
998.46,-0.02
1008.44,0.12
1018.53,0.26
1028.71,0.42
1039.00,0.58
1049.39,0.75
1059.88,0.92
1070.48,1.12
1081.19,1.31
1092.00,1.51
1102.92,1.71
1113.95,1.91
1125.09,2.11
1136.34,2.34
1147.70,2.56
1159.18,2.78
1170.77,3.01
1182.48,3.24
1194.30,3.48
1206.25,3.71
1218.31,3.95
1230.49,4.19
1242.80,4.43
1255.22,4.68
1267.78,4.92
1280.45,5.17
1293.26,5.42
1306.19,5.67
1319.25,5.92
1332.45,6.16
1345.77,6.42
1359.23,6.67
1372.82,6.91
1386.55,7.15
1400.41,7.39
1414.42,7.63
1428.56,7.87
1442.85,8.10
1457.28,8.34
1471.85,8.58
1486.57,8.81
1501.43,9.04
1516.45,9.27
1531.61,9.49
1546.93,9.71
1562.40,9.94
1578.02,10.15
1593.80,10.35
1609.74,10.56
1625.84,10.76
1642.10,10.96
1658.52,11.16
1675.10,11.35
1691.85,11.51
1708.77,11.68
1725.86,11.85
1743.12,11.98
1760.55,12.10
1778.15,12.23
1795.94,12.32
1813.90,12.40
1832.03,12.47
1850.36,12.54
1868.86,12.57
1887.55,12.61
1906.42,12.64
1925.49,12.63
1944.74,12.63
1964.19,12.62
1983.83,12.60
2003.67,12.57
2023.71,12.53
2043.94,12.50
2064.38,12.45
2085.03,12.40
2105.88,12.36
2126.94,12.31
2148.20,12.26
2169.69,12.21
2191.38,12.17
2213.30,12.13
2235.43,12.08
2257.78,12.05
2280.36,12.01
2303.17,11.98
2326.20,11.95
2349.46,11.94
2372.95,11.93
2396.68,11.92
2420.65,11.93
2444.86,11.93
2469.31,11.94
2494.00,11.95
2518.94,11.98
2544.13,12.01
2569.57,12.04
2595.27,12.09
2621.22,12.14
2647.43,12.20
2673.90,12.27
2700.64,12.36
2727.65,12.44
2754.93,12.53
2782.48,12.63
2810.30,12.74
2838.40,12.84
2866.79,12.95
2895.46,13.07
2924.41,13.18
2953.65,13.28
2983.19,13.39
3013.02,13.50
3043.15,13.59
3073.58,13.68
3104.32,13.77
3135.36,13.84
3166.72,13.88
3198.38,13.93
3230.37,13.97
3262.67,13.93
3295.30,13.88
3328.25,13.84
3361.53,13.73
3395.15,13.59
3429.10,13.45
3463.39,13.29
3498.03,13.09
3533.01,12.89
3568.34,12.69
3604.02,12.51
3640.06,12.32
3676.46,12.15
3713.22,12.05
3750.36,11.95
3787.86,11.86
3825.74,11.83
3864.00,11.82
3902.64,11.81
3941.66,11.84
3981.08,11.89
4020.89,11.95
4061.10,12.01
4101.71,12.10
4142.73,12.19
4184.15,12.27
4226.00,12.38
4268.26,12.48
4310.94,12.58
4354.05,12.67
4397.59,12.75
4441.56,12.84
4485.98,12.90
4530.84,12.93
4576.15,12.95
4621.91,12.98
4668.13,12.85
4714.81,12.73
4761.96,12.61
4809.58,12.31
4857.67,11.99
4906.25,11.65
4955.31,11.26
5004.87,10.86
5054.91,10.43
5105.46,9.97
5156.52,9.50
5208.08,9.01
5260.16,8.53
5312.77,8.05
5365.89,7.57
5419.55,7.15
