frequency,raw
109.348297,-2.966
109.684753,-2.97
110.02121,-2.974
110.357666,-2.978
110.694122,-2.982
111.030579,-2.987
111.367035,-2.992
111.703491,-2.999
112.039948,-3.005
112.376404,-3.013
112.71286,-3.021
113.049316,-3.03
113.385773,-3.039
113.722229,-3.048
114.058685,-3.059
114.395142,-3.069
114.731598,-3.08
115.068054,-3.091
115.40451,-3.101
115.740967,-3.111
116.077423,-3.121
116.413879,-3.132
116.750336,-3.143
117.086792,-3.154
117.423248,-3.164
117.759705,-3.172
118.096161,-3.179
118.432617,-3.186
118.769073,-3.195
119.10553,-3.204
119.441986,-3.215
119.778442,-3.225
120.114899,-3.232
120.451355,-3.237
120.787811,-3.241
121.124268,-3.244
121.460724,-3.249
121.79718,-3.256
122.133636,-3.263
122.470093,-3.27
122.806549,-3.277
123.143005,-3.281
123.479462,-3.284
123.815918,-3.287
124.152374,-3.29
124.488831,-3.294
124.825287,-3.299
125.161743,-3.304
125.498199,-3.309
125.834656,-3.314
126.171112,-3.318
126.507568,-3.321
126.844025,-3.324
127.180481,-3.327
127.516937,-3.332
127.853394,-3.337
128.18985,-3.343
128.526306,-3.348
128.862762,-3.352
129.199219,-3.356
129.535675,-3.36
129.872131,-3.364
130.208588,-3.369
130.545044,-3.374
130.8815,-3.379
131.217957,-3.382
131.554413,-3.384
131.890869,-3.387
132.227325,-3.39
132.563782,-3.393
132.900238,-3.398
133.236694,-3.402
133.573151,-3.405
133.909607,-3.406
134.246063,-3.407
134.58252,-3.409
134.918976,-3.412
135.255432,-3.417
135.591888,-3.422
135.928345,-3.426
136.264801,-3.428
136.601257,-3.428
136.937714,-3.426
137.27417,-3.425
137.610626,-3.425
137.947083,-3.426
138.283539,-3.429
138.619995,-3.43
138.956451,-3.43
139.292908,-3.429
139.629364,-3.425
139.96582,-3.42
140.302277,-3.415
140.638733,-3.411
140.975189,-3.408
141.311646,-3.406
141.648102,-3.403
141.984558,-3.399
142.321014,-3.393
142.657471,-3.385
142.993927,-3.377
143.330383,-3.369
143.66684,-3.362
144.003296,-3.355
144.339752,-3.348
144.676208,-3.34
145.012665,-3.332
145.349121,-3.322
145.685577,-3.314
146.022034,-3.305
146.35849,-3.297
146.694946,-3.289
147.031403,-3.281
147.367859,-3.273
147.704315,-3.265
148.040771,-3.257
148.377228,-3.25
148.713684,-3.243
149.05014,-3.237
149.386597,-3.23
149.723053,-3.224
150.059509,-3.218
150.395966,-3.212
150.732422,-3.206
151.068878,-3.2
151.405334,-3.195
151.741791,-3.192
152.078247,-3.188
152.414703,-3.186
152.75116,-3.184
153.087616,-3.181
153.424072,-3.178
153.760529,-3.174
154.096985,-3.171
154.433441,-3.168
154.769897,-3.167
155.106354,-3.166
155.44281,-3.166
155.779266,-3.166
156.115723,-3.164
156.452179,-3.162
156.788635,-3.161
157.125092,-3.16
157.461548,-3.162
157.798004,-3.165
158.13446,-3.168
158.470917,-3.17
158.807373,-3.17
159.143829,-3.17
159.480286,-3.171
159.816742,-3.173
160.153198,-3.177
160.489655,-3.182
160.826111,-3.187
161.162567,-3.192
161.499023,-3.195
161.83548,-3.198
162.171936,-3.2
162.508392,-3.204
162.844849,-3.208
163.181305,-3.213
163.517761,-3.218
163.854218,-3.223
164.190674,-3.227
164.52713,-3.231
164.863586,-3.235
165.200043,-3.239
165.536499,-3.244
165.872955,-3.25
166.209412,-3.255
166.545868,-3.262
166.882324,-3.269
167.218781,-3.277
167.555237,-3.284
167.891693,-3.291
168.228149,-3.298
168.564606,-3.304
168.901062,-3.309
169.237518,-3.315
169.573975,-3.321
169.910431,-3.327
170.246887,-3.332
170.583344,-3.337
170.9198,-3.34
171.256256,-3.342
171.592712,-3.344
171.929169,-3.346
172.265625,-3.347
172.602081,-3.347
172.938538,-3.346
173.274994,-3.344
173.61145,-3.343
173.947906,-3.342
174.284363,-3.341
174.620819,-3.339
