frequency,raw
1008.44,0.19
1018.53,0.41
1028.71,0.75
1039.00,1.12
1049.39,1.48
1059.88,1.82
1070.48,2.16
1081.19,2.43
1092.00,2.64
1102.92,2.86
1113.95,3.07
1125.09,3.27
1136.34,3.42
1147.70,3.57
1159.18,3.72
1170.77,3.87
1182.48,4.02
1194.30,4.13
1206.25,4.24
1218.31,4.36
1230.49,4.47
1242.80,4.58
1255.22,4.66
1267.78,4.74
1280.45,4.82
1293.26,4.90
1306.19,4.98
1319.25,5.03
1332.45,5.09
1345.77,5.14
1359.23,5.19
1372.82,5.24
1386.55,5.28
1400.41,5.32
1414.42,5.36
1428.56,5.40
1442.85,5.44
1457.28,5.49
1471.85,5.54
1486.57,5.59
1501.43,5.64
1516.45,5.69
1531.61,5.75
1546.93,5.83
1562.40,5.91
1578.02,5.99
1593.80,6.06
1609.74,6.15
1625.84,6.24
1642.10,6.34
1658.52,6.43
1675.10,6.52
1691.85,6.61
1708.77,6.70
1725.86,6.79
1743.12,6.88
1760.55,6.97
1778.15,7.06
1795.94,7.12
1813.90,7.18
1832.03,7.23
1850.36,7.29
1868.86,7.35
1887.55,7.37
1906.42,7.40
1925.49,7.42
1944.74,7.44
1964.19,7.46
1983.83,7.46
2003.67,7.45
2023.71,7.45
2043.94,7.44
2064.38,7.44
2085.03,7.42
2105.88,7.39
2126.94,7.36
2148.20,7.33
2169.69,7.31
2191.38,7.29
2213.30,7.27
2235.43,7.26
2257.78,7.25
2280.36,7.23
2303.17,7.26
2326.20,7.34
2349.46,7.43
2372.95,7.52
2396.68,7.60
2420.65,7.72
2444.86,7.93
2469.31,8.14
2494.00,8.35
2518.94,8.56
2544.13,8.91
2569.57,9.29
2595.27,9.67
2621.22,9.95
2647.43,10.24
2673.90,10.52
2700.64,10.79
2727.65,10.88
2754.93,10.98
2782.48,11.07
2810.30,11.17
2838.40,11.22
2866.79,11.19
2895.46,11.15
2924.41,11.11
2953.65,11.08
2983.19,11.04
3013.02,11.04
3043.15,11.03
3073.58,11.03
3104.32,11.02
3135.36,11.01
3166.72,11.04
3198.38,11.07
3230.37,11.10
3262.67,11.12
3295.30,11.15
3328.25,11.01
3361.53,10.85
3395.15,10.69
3429.10,10.52
3463.39,10.24
3498.03,9.87
3533.01,9.50
3568.34,9.12
3604.02,8.73
3640.06,8.34
3676.46,8.07
3713.22,7.91
3750.36,7.74
3787.86,7.58
3825.74,7.42
3864.00,7.49
3902.64,7.56
3941.66,7.63
3981.08,7.70
4020.89,7.78
4061.10,7.89
4101.71,8.00
4142.73,8.12
4184.15,8.24
4226.00,8.35
4268.26,8.32
4310.94,8.23
4354.05,8.13
4397.59,8.04
4441.56,7.95
4485.98,7.81
4530.84,7.64
4576.15,7.46
4621.91,7.28
4668.13,7.11
4714.81,6.99
4761.96,6.94
4809.58,6.90
4857.67,6.85
4906.25,6.80
4955.31,6.78
5004.87,6.84
5054.91,6.90
5105.46,6.96
5156.52,7.02
5208.08,7.08
5260.16,7.16
5312.77,7.24
5365.89,7.32
5419.55,7.40
5473.75,7.47
5528.49,7.44
5583.77,7.40
5639.61,7.36
5696.00,7.32
5752.96,7.24
5810.49,6.98
5868.60,6.72
5927.28,6.45
5986.56,6.20
6046.42,5.97
6106.89,5.75
6167.96,5.53
6229.64,5.32
6291.93,5.22
6354.85,5.11
6418.40,5.01
6482.58,4.90
6547.41,4.84
6612.88,4.84
6679.01,4.84
6745.80,4.84
6813.26,4.84
6881.39,4.86
6950.21,4.93
7019.71,5.00
7089.91,5.08
7160.81,5.15
7232.41,5.23
7304.74,5.42
7377.79,5.62
7451.56,5.81
7526.08,6.00
